Section,Checklist Item,Description,Status,조치 내용 및 근거 코드
회원가입 및 프로필 관리,서버측 입력 검증,"사용자명/비밀번호 길이, 허용 문자 집합, 형식 등 서버측 검증 수행. XSS 방지를 위한 입력값 필터링/인코딩 확인",완료,"security.py의 USERNAME_RE/PASSWORD_RE로 정규식 검증(register/login에서 사용). Jinja2 autoescape(기본 활성화)로 출력 시 자동 이스케이프"
,CSRF 보호,"회원가입/로그인/프로필 수정 등 모든 폼에 CSRF 토큰 적용 확인",완료,"Flask-WTF CSRFProtect(app) 전역 적용 + 모든 POST form에 csrf_token 히든 필드 추가"
,비밀번호 보안,"bcrypt/Argon2 등 강력한 해시+고유 salt로 암호화 저장하는지 확인",완료,"security.py: argon2-cffi PasswordHasher로 해시 저장(user.password_hash), 평문 저장 없음"
,세션 쿠키 설정,"HttpOnly/Secure 플래그 적용 확인",완료,"app.py SESSION_COOKIE_HTTPONLY=True 고정, SESSION_COOKIE_SAMESITE=Lax, FORCE_HTTPS=1 환경변수로 Secure/HSTS 활성화"
,세션 만료 및 재인증,"일정 시간 후 세션 만료 및 민감 작업 재인증 로직 확인",완료,"PERMANENT_SESSION_LIFETIME=30분. 비밀번호 변경(profile)/송금(transfer)은 현재 비밀번호 재인증 필수"
,실패 로그인 방어,"로그인 실패 횟수에 따른 계정 잠금/지연 적용 확인",완료,"user.failed_login_count/lock_until 컬럼, 5회 실패 시 5분 잠금(app.py login())"
,오류 메시지,"오류 발생 시 내부 정보(스택 트레이스 등) 노출 방지 확인",완료,"FLASK_DEBUG=0 기본값, 커스텀 403/404/500 에러 페이지, 500은 app.logger로만 서버측 기록"
상품 등록 및 관리,폼 입력 검증,"제목/설명/가격 등 서버측 검증 및 필수 항목 체크, 가격 숫자/범위 검증",완료,"security.py validate_price()로 정수/범위 검증, clean_text()로 길이 제한(new_product/edit_product)"
,XSS 방어,"상품 설명 등 사용자 입력에 대해 HTML/스크립트 이스케이프 또는 필터링",완료,"Jinja2 autoescape 기본 활성화 + clean_text()로 제어문자 제거"
,인증된 사용자만 등록,"등록/수정/삭제가 로그인 사용자에게만 허용되는지 확인",완료,"@login_required 데코레이터를 new_product/edit_product/delete_product에 적용"
,소유자 확인,"수정/삭제 시 요청자가 소유자인지 검증하는 로직 확인",완료,"edit_product/delete_product에서 product.seller_id == 현재 사용자 id 검증, 불일치 시 403"
,데이터 무결성,"DB 저장 전 필수 항목/형식 검증 로직 확인",완료,"validate_price, clean_text 등으로 저장 전 서버측 검증 수행"
실시간 채팅 및 메시징,메시지 내용 검증,"길이 제한, 허용 문자, XSS 이스케이프 등 서버측 검증 확인",완료,"clean_text()로 500자 제한 및 제어문자 제거. 클라이언트는 textContent로 렌더링하여 스크립트 실행 차단"
,사용자 인증,"Socket 연결 시 로그인 상태 확인 로직 적용 여부",완료,"send_message/send_dm_message 핸들러에서 session['user_id'] 및 is_banned 여부 확인 후 미인증/휴면 시 무시"
,메시지 검증,"클라이언트 수신 메시지의 형식/내용에 대한 서버측 검증 로직 확인",완료,"서버가 username을 클라이언트 입력이 아닌 세션 기준으로 재설정(스푸핑 방지), message는 clean_text 처리"
,Rate Limiting,"단기간 과도한 메시지 전송 제한(스팸 방지) 구현 여부",완료,"security.py RateLimiter로 10초당 5회로 제한(전체 채팅/1:1 채팅 공통)"
,연결 암호화,"운영 환경 WSS(TLS) 사용 여부",부분 완료,"로컨 개발 환경은 ws:// 사용. FORCE_HTTPS=1 + 리버스 프록시(Nginx 등)로 운영 배포 시 wss:// 적용 필요(README 명시)"
안전 거래 및 신고,폼 입력 검증,"신고 대상/사유에 대한 서버측 검증, 길이 제한, XSS 방어 확인",완료,"report()에서 target_type 화이트리스트 검증, clean_text로 target_id/reason 길이 제한"
,인증된 사용자 접근,"신고 기능이 로그인 사용자만 접근 가능한지 확인",완료,"@login_required 적용"
,데이터 무결성 및 로그 관리,"신고 접수 시 올바른 데이터 저장 및 감사 로그 기록 여부",완료,"report 테이블에 reporter_id/target/reason/created_at 영구 기록, 관리자 페이지(/admin/reports)에서 조회 가능"
,신고 남용 방지,"반복 신고 제한, 신고 건수 제한, 관리자 검토 프로세스 등 확인",완료,"report 테이블 UNIQUE(reporter_id, target_type, target_id)로 동일 대상 중복 신고 차단, 사용자당 시간당 10회 제한(report_rate_limiter), 상품 3회/사용자 5회 누적 시 자동 차단·휴면, 관리자가 /admin에서 재검토·해제 가능"
전체 시스템,ORM 및 파라미터 바인딩,"SQL 인젝션 방어를 위한 ORM/파라미터 바인딩 적용 확인",완료,"모든 쿼리가 sqlite3의 '?' 파라미터 바인딩 사용(문자열 포맷팅으로 SQL 조립하는 코드 없음). LIKE 검색은 ESCAPE 절로 와일드카드 인젝션까지 방지"
,데이터베이스 권한,"DB 사용자 권한 최소 권한 원칙 적용 확인",해당 없음,"SQLite 파일 기반 DB로 별도 DB 계정 권한 개념 없음. 운영 시 별도 DB(MySQL/Postgres) 전환 시 최소 권한 계정 분리 필요(README에 명시)"
,보안 헤더 설정,"CSP, X-Frame-Options, X-Content-Type-Options 등 적용 확인",완료,"app.py after_request에서 CSP/X-Frame-Options/X-Content-Type-Options/Referrer-Policy 설정"
,HTTPS 적용,"운영 환경 HTTPS 적용 확인",부분 완료,"로컬 개발은 HTTP. FORCE_HTTPS=1 환경변수로 Secure 쿠키/HSTS 활성화 가능하나 TLS 종단은 리버스 프록시에서 구성 필요"
,에러 및 예외 처리,"예외 처리 시 민감 정보 노출 방지, 에러 로그 관리 확인",완료,"커스텀 에러 핸들러(403/404/500), 500은 app.logger.exception으로만 기록하고 사용자에게는 일반 메시지만 노출"
,라이브러리 및 의존성 관리,"Flask/Flask-SocketIO 등 최신 보안 패치 적용 여부 점검",완료,"requirements.txt/enviroments.yaml에 버전 고정 없이 최신 배포본 사용, 정기적 pip list --outdated 점검 권장(README)"
